query,rule_ids
Deploy a 5G core network element with DPDK optimizations,r33;r27;r26;r23;r24;r25;r32;r28;r29;r30;r31;r22;r21;r20;r19
Deploy a High-Performance Computing (HPC) Cluster with Thermal and Memory safeguards,r3;r11;r5;r2;r4;r13;r8;r32;r10;r6;r9;r7;r33;r23;r27;r26;r25;r24
Provision a Low-Latency Cloud Gaming Platform with Zero Packet Loss,r31;r29;r20;r22;r19;r21;r30;r28;r18;r17;r16;r15;r23;r24;r25;r33
Implement an Autonomous Vehicle Control System with Real-Time network Stability,r8;r10;r31;r28;r20;r3;r16;r21;r22;r29;r30;r5;r19;r18;r7;r9;r4;r2;r15;r25;r32;r24;r23;r33;r27;r26;r12
Implement a Real-Time Video Surveillance System with Frame Loss Prevention,r31;r29;r20;r22;r19;r21;r30;r28;r18;r17;r16;r15;r23;r24;r25;r33
Create a Cloud-Based AI Training Cluster with GPU Utilization Monitoring,r3;r5;r32;r10;r8;r4;r2;r7;r9
Setup a Global Content Delivery Network (CDN) with Packet integrity Assurance,r31;r19;r30;r29;r28;r21;r20;r22;r16;r18;r17;r33;r27;r24;r25;r26;r23
Implement a Satellite Communication Hub with Signal Integrity Checks,r28;r30;r21;r19;r16;r31;r22;r18;r20;r29;r13;r12;r17;r11;r33;r24;r25;r23
Build a Decentralized Blockchain Network with Consensus Stability,r31;r29;r30;r16;r17;r28;r18;r19;r20;r21;r22;r15;r24;r27;r23;r25;r26;r32;r33
Setup an Edge AI Inference Node with Thermal and Memory Safeguards,r11;r3;r5;r13;r2;r4;r10;r32;r6;r8;r7;r9
Deploy a Backup Server with SSH Access and Network Stability,r15;r16;r18;r5;r3
Create an IoT Temperature Sensor Node with Thermal Thresholds,r11;r3;r13;r5;r2
Deploy a Static Web Server with MTU and Packet Loss Monitoring,r17;r31;r20;r29;r22;r16;r30;r28;r21;r19
Setup a Digital Signage System with Fan Speed Safeguards,r13;r12
Create a Home Automation Hub with Stable SSH and Low CPU Load,r15;r10;r9;r8;r7
Provision a File Storage Server with Memory and MTU compliance,r17;r3;r5;r2;r4;r32;r16;r8;r10
Setup a Maritime Navigation System with Network Stability,r18;r16;r31;r30;r28;r29;r22;r21;r19;r20;r15;r17
Provision a Smart Agriculture IoT Node with Thermal Controls,r12;r11;r13;r8;r3
Create a Disaster Recovery Site with Minimal Packet Loss,r31;r29;r20;r22;r30;r28;r21;r19;r16;r18
Deploy a Public Transit Scheduling System with ARP Checks,None
Build a Digital Twin for Industrial Machinery with buffer Monitoring,r32;r6;r5;r3;r24;r33;r23;r4;r2;r25;r26;r27;r30;r31;r28;r29;r22;r21;r20;r8;r19;r10
Setup a Cryptocurrency Mining Rig with Thermal Safeguards,r11;r8;r3;r6;r7;r5;r10;r2;r32
Create a Wildlife Tracking System with Network Error Detection,r18;r13;r31;r29;r30;r28;r22;r20;r21;r19;r16
Provision a Voice-over-IP (VoIP) Gateway with Packet Integrity,r31;r29;r30;r19;r20;r28;r22;r21;r17;r16;r18;r15;r24;r27;r23;r25;r26;r32;r33
Implement a Smart Metering Hub with Memory Stability,r3;r5;r2;r4;r32;r8;r10;r7;r9
Deploy a Quantum Computing Interface with Fan Speed Alerts,r13;r12;r11
Build a Satellite IoT Gateway with MTU Compliance,r17;r16
Setup a Telemetry Server for Drones with Low Latency,r33;r26;r25;r27;r24;r23;r15;r30;r31;r10;r28;r29;r22;r20;r19;r18;r21;r8;r16;r9;r17;r7;r32;r5;r3
Create a Biometric Authentication System with SSH access,r15
Provision a Genomics Data Processing with CPU Headroom,r10;r8;r3;r5;r7;r9;r4;r2
Deploy a Fleet Management System with No Rx Errors,r28;r19
Implement a Smart Lighting Controller with Thermal Limits,r12;r11;r13;r5;r3;r10;r8;r2
Build a Hydroponics Monitoring Node with Network Stability,r12;r13;r11;r30;r31;r22;r28;r29;r21;r18;r19;r20;r16
Setup a E-Commerce API Gateway with MTU Enforcement,r17;r16
Create a Robotics Simulation with memory Guarantees,r3;r5;r2;r4;r32;r6;r8;r10
Provision a Spacecraft Telemetry Relay with DPDK Buffers,r33;r32;r25;r23;r24;r27;r26
Deploy a Waste Management IoT Sensor with Fan Alerts,r13;r12
Implement a Air Traffic Control Backup System with ARP Checks,r18
Build a Nuclear Plant Sensor Network with Zero Packet Loss,r30;r31;r28;r29;r16;r19;r22;r21;r20;r18;r12;r13;r11;r33;r27;r23;r25;r24;r26;r32
Setup a Railway Signaling System with CPU Stability,r10;r8;r9;r7;r5;r3;r14
Create a Augmented Reality Classroom with SSH Access,r15
Provision a Wind Turbine Monitoring Node with Thermal Controls,r11;r3;r13;r8;r2;r5;r10;r7;r32
Deploy a Underwater Data Acoustic Link with Buffer Protection,r33;r32;r25;r24;r23
Build a Lunar Rover Communication Hub with DPDK Optimizations,r33;r23;r24;r25;r32;r26;r27;r31;r28;r30;r29;r22;r21;r20;r19;r18;r17;r16;r15
Deploy a load balancer with 3GHz of processing capabilites,r10;r8;r9;r7;r5;r3;r4;r2
