query,rule_id,bm25_score,keyword_score
Provision an e-commerce host with guaranteed CPU headroom below 90% utilization,r13,0.0000,0.0000
Provision an e-commerce host with guaranteed CPU headroom below 90% utilization,r14,0.0000,0.0000
Provision an e-commerce host with guaranteed CPU headroom below 90% utilization,r15,0.0000,0.0000
Provision an e-commerce host with guaranteed CPU headroom below 90% utilization,r16,0.0000,0.0000
Provision an e-commerce host with guaranteed CPU headroom below 90% utilization,r17,0.0000,0.0000
Provision an e-commerce host with guaranteed CPU headroom below 90% utilization,r18,0.0000,0.0000
Provision an e-commerce host with guaranteed CPU headroom below 90% utilization,r19,0.0000,0.0000
Provision an e-commerce host with guaranteed CPU headroom below 90% utilization,r20,0.0000,0.0000
Provision an e-commerce host with guaranteed CPU headroom below 90% utilization,r21,0.0000,0.0000
Provision an e-commerce host with guaranteed CPU headroom below 90% utilization,r22,0.0000,0.0000
Provision an e-commerce host with guaranteed CPU headroom below 90% utilization,r23,0.0000,0.0000
Provision an e-commerce host with guaranteed CPU headroom below 90% utilization,r24,0.0000,0.0000
Provision an e-commerce host with guaranteed CPU headroom below 90% utilization,r25,0.0000,0.0000
Provision an e-commerce host with guaranteed CPU headroom below 90% utilization,r26,0.0000,0.0000
Provision an e-commerce host with guaranteed CPU headroom below 90% utilization,r27,0.0000,0.0000
Provision an e-commerce host with guaranteed CPU headroom below 90% utilization,r28,0.0000,0.0000
Provision an e-commerce host with guaranteed CPU headroom below 90% utilization,r29,0.0000,0.0000
Provision an e-commerce host with guaranteed CPU headroom below 90% utilization,r30,0.0000,0.0000
Provision an e-commerce host with guaranteed CPU headroom below 90% utilization,r31,0.0000,0.0000
Provision an e-commerce host with guaranteed CPU headroom below 90% utilization,r32,0.0000,0.0000
Provision an e-commerce host with guaranteed CPU headroom below 90% utilization,r33,0.0000,0.0000
Deploy a critical analytics server with no memory exhaustion risks,r1,0.0000,0.0000
Deploy a critical analytics server with no memory exhaustion risks,r2,0.3314,0.1000
Deploy a critical analytics server with no memory exhaustion risks,r3,1.0000,0.3333
Deploy a critical analytics server with no memory exhaustion risks,r4,0.3314,0.1000
Deploy a critical analytics server with no memory exhaustion risks,r5,1.0000,0.3333
Deploy a critical analytics server with no memory exhaustion risks,r6,0.0000,0.0000
Deploy a critical analytics server with no memory exhaustion risks,r7,0.0000,0.0000
Deploy a critical analytics server with no memory exhaustion risks,r8,0.2320,0.0909
Deploy a critical analytics server with no memory exhaustion risks,r9,0.0000,0.0000
Deploy a critical analytics server with no memory exhaustion risks,r10,0.2320,0.0909
Deploy a critical analytics server with no memory exhaustion risks,r11,0.0000,0.0000
Deploy a critical analytics server with no memory exhaustion risks,r12,0.2320,0.0909
Deploy a critical analytics server with no memory exhaustion risks,r13,0.2320,0.0909
Deploy a critical analytics server with no memory exhaustion risks,r14,0.0000,0.0000
Deploy a critical analytics server with no memory exhaustion risks,r15,0.0000,0.0000
Deploy a critical analytics server with no memory exhaustion risks,r16,0.1837,0.0714
Deploy a critical analytics server with no memory exhaustion risks,r17,0.0000,0.0000
Deploy a critical analytics server with no memory exhaustion risks,r18,0.0000,0.0000
Deploy a critical analytics server with no memory exhaustion risks,r19,0.0000,0.0000
Deploy a critical analytics server with no memory exhaustion risks,r20,0.0000,0.0000
Deploy a critical analytics server with no memory exhaustion risks,r21,0.0000,0.0000
Deploy a critical analytics server with no memory exhaustion risks,r22,0.0000,0.0000
Deploy a critical analytics server with no memory exhaustion risks,r23,0.0000,0.0000
Deploy a critical analytics server with no memory exhaustion risks,r24,0.0000,0.0000
Deploy a critical analytics server with no memory exhaustion risks,r25,0.0000,0.0000
Deploy a critical analytics server with no memory exhaustion risks,r26,0.0000,0.0000
Deploy a critical analytics server with no memory exhaustion risks,r27,0.0000,0.0000
Deploy a critical analytics server with no memory exhaustion risks,r28,0.0000,0.0000
Deploy a critical analytics server with no memory exhaustion risks,r29,0.0000,0.0000
Deploy a critical analytics server with no memory exhaustion risks,r30,0.0000,0.0000
Deploy a critical analytics server with no memory exhaustion risks,r31,0.0000,0.0000
Deploy a critical analytics server with no memory exhaustion risks,r32,0.3024,0.0909
Deploy a critical analytics server with no memory exhaustion risks,r33,0.0000,0.0000
Create a high-security server with MTU 1500 enforcement and gateway monitoring,r1,0.0000,0.0000
Create a high-security server with MTU 1500 enforcement and gateway monitoring,r2,0.0000,0.0000
Create a high-security server with MTU 1500 enforcement and gateway monitoring,r3,0.0000,0.0000
Create a high-security server with MTU 1500 enforcement and gateway monitoring,r4,0.0000,0.0000
Create a high-security server with MTU 1500 enforcement and gateway monitoring,r5,0.0000,0.0000
Create a high-security server with MTU 1500 enforcement and gateway monitoring,r6,0.0000,0.0000
Create a high-security server with MTU 1500 enforcement and gateway monitoring,r7,0.0000,0.0000
Create a high-security server with MTU 1500 enforcement and gateway monitoring,r8,0.0000,0.0000
Create a high-security server with MTU 1500 enforcement and gateway monitoring,r9,0.0000,0.0000
Create a high-security server with MTU 1500 enforcement and gateway monitoring,r10,0.0000,0.0000
Create a high-security server with MTU 1500 enforcement and gateway monitoring,r11,0.0000,0.0000
Create a high-security server with MTU 1500 enforcement and gateway monitoring,r12,0.0000,0.0000
Create a high-security server with MTU 1500 enforcement and gateway monitoring,r13,0.0000,0.0000
Create a high-security server with MTU 1500 enforcement and gateway monitoring,r14,0.0000,0.0000
Create a high-security server with MTU 1500 enforcement and gateway monitoring,r15,0.0000,0.0000
Create a high-security server with MTU 1500 enforcement and gateway monitoring,r16,0.8612,0.0667
Create a high-security server with MTU 1500 enforcement and gateway monitoring,r17,1.0000,0.0769
Create a high-security server with MTU 1500 enforcement and gateway monitoring,r18,0.0000,0.0000
Create a high-security server with MTU 1500 enforcement and gateway monitoring,r19,0.3885,0.0833
Create a high-security server with MTU 1500 enforcement and gateway monitoring,r20,0.3572,0.0769
Create a high-security server with MTU 1500 enforcement and gateway monitoring,r21,0.3885,0.0833
Create a high-security server with MTU 1500 enforcement and gateway monitoring,r22,0.3572,0.0769
Create a high-security server with MTU 1500 enforcement and gateway monitoring,r23,0.0000,0.0000
Create a high-security server with MTU 1500 enforcement and gateway monitoring,r24,0.0000,0.0000
Create a high-security server with MTU 1500 enforcement and gateway monitoring,r25,0.0000,0.0000
Create a high-security server with MTU 1500 enforcement and gateway monitoring,r26,0.0000,0.0000
Create a high-security server with MTU 1500 enforcement and gateway monitoring,r27,0.0000,0.0000
Create a high-security server with MTU 1500 enforcement and gateway monitoring,r28,0.3885,0.0833
Create a high-security server with MTU 1500 enforcement and gateway monitoring,r29,0.3572,0.0769
Create a high-security server with MTU 1500 enforcement and gateway monitoring,r30,0.3885,0.0833
Create a high-security server with MTU 1500 enforcement and gateway monitoring,r31,0.3572,0.0769
Create a high-security server with MTU 1500 enforcement and gateway monitoring,r32,0.0000,0.0000
Create a high-security server with MTU 1500 enforcement and gateway monitoring,r33,0.0000,0.0000
Implement a financial trading system with network interface stability guarantees,r1,0.0000,0.0000
Implement a financial trading system with network interface stability guarantees,r2,0.0000,0.0000
Implement a financial trading system with network interface stability guarantees,r3,0.0000,0.0000
Implement a financial trading system with network interface stability guarantees,r4,0.0000,0.0000
Implement a financial trading system with network interface stability guarantees,r5,0.0000,0.0000
Implement a financial trading system with network interface stability guarantees,r6,0.0000,0.0000
Implement a financial trading system with network interface stability guarantees,r7,0.0000,0.0000
Implement a financial trading system with network interface stability guarantees,r8,0.0000,0.0000
Implement a financial trading system with network interface stability guarantees,r9,0.0000,0.0000
Implement a financial trading system with network interface stability guarantees,r10,0.0000,0.0000
Implement a financial trading system with network interface stability guarantees,r11,0.0000,0.0000
Implement a financial trading system with network interface stability guarantees,r12,0.0000,0.0000
Implement a financial trading system with network interface stability guarantees,r13,0.0000,0.0000
Implement a financial trading system with network interface stability guarantees,r14,0.0000,0.0000
Implement a financial trading system with network interface stability guarantees,r15,0.0000,0.0000
Implement a financial trading system with network interface stability guarantees,r16,0.1320,0.0667
Implement a financial trading system with network interface stability guarantees,r17,0.1532,0.0769
Implement a financial trading system with network interface stability guarantees,r18,1.0000,0.1818
Implement a financial trading system with network interface stability guarantees,r19,0.1667,0.0833
Implement a financial trading system with network interface stability guarantees,r20,0.1532,0.0769
Implement a financial trading system with network interface stability guarantees,r21,0.1667,0.0833
Implement a financial trading system with network interface stability guarantees,r22,0.1532,0.0769
Implement a financial trading system with network interface stability guarantees,r23,0.1532,0.0769
Implement a financial trading system with network interface stability guarantees,r24,0.1667,0.0833
Implement a financial trading system with network interface stability guarantees,r25,0.1418,0.0714
Implement a financial trading system with network interface stability guarantees,r26,0.1667,0.0833
Implement a financial trading system with network interface stability guarantees,r27,0.1532,0.0769
Implement a financial trading system with network interface stability guarantees,r28,0.1667,0.0833
Implement a financial trading system with network interface stability guarantees,r29,0.1532,0.0769
Implement a financial trading system with network interface stability guarantees,r30,0.1667,0.0833
Implement a financial trading system with network interface stability guarantees,r31,0.1532,0.0769
Implement a financial trading system with network interface stability guarantees,r32,0.0000,0.0000
Implement a financial trading system with network interface stability guarantees,r33,0.1418,0.0769
Build a IoT edge node with temperature controls and fan speed safeguards,r1,0.0000,0.0000
Build a IoT edge node with temperature controls and fan speed safeguards,r2,0.0000,0.0000
Build a IoT edge node with temperature controls and fan speed safeguards,r3,0.0000,0.0000
Build a IoT edge node with temperature controls and fan speed safeguards,r4,0.0000,0.0000
Build a IoT edge node with temperature controls and fan speed safeguards,r5,0.0000,0.0000
Build a IoT edge node with temperature controls and fan speed safeguards,r6,0.0000,0.0000
Build a IoT edge node with temperature controls and fan speed safeguards,r7,0.0000,0.0000
Build a IoT edge node with temperature controls and fan speed safeguards,r8,0.0000,0.0000
Build a IoT edge node with temperature controls and fan speed safeguards,r9,0.0000,0.0000
Build a IoT edge node with temperature controls and fan speed safeguards,r10,0.0000,0.0000
Build a IoT edge node with temperature controls and fan speed safeguards,r11,0.4119,0.0769
Build a IoT edge node with temperature controls and fan speed safeguards,r12,0.4119,0.0769
Build a IoT edge node with temperature controls and fan speed safeguards,r13,1.0000,0.1667
Build a IoT edge node with temperature controls and fan speed safeguards,r14,0.0000,0.0000
Build a IoT edge node with temperature controls and fan speed safeguards,r15,0.0000,0.0000
Build a IoT edge node with temperature controls and fan speed safeguards,r16,0.0000,0.0000
Build a IoT edge node with temperature controls and fan speed safeguards,r17,0.0000,0.0000
Build a IoT edge node with temperature controls and fan speed safeguards,r18,0.0000,0.0000
Build a IoT edge node with temperature controls and fan speed safeguards,r19,0.0000,0.0000
Build a IoT edge node with temperature controls and fan speed safeguards,r20,0.0000,0.0000
Build a IoT edge node with temperature controls and fan speed safeguards,r21,0.0000,0.0000
Build a IoT edge node with temperature controls and fan speed safeguards,r22,0.0000,0.0000
Build a IoT edge node with temperature controls and fan speed safeguards,r23,0.0000,0.0000
Build a IoT edge node with temperature controls and fan speed safeguards,r24,0.0000,0.0000
Build a IoT edge node with temperature controls and fan speed safeguards,r25,0.0000,0.0000
Build a IoT edge node with temperature controls and fan speed safeguards,r26,0.0000,0.0000
Build a IoT edge node with temperature controls and fan speed safeguards,r27,0.0000,0.0000
Build a IoT edge node with temperature controls and fan speed safeguards,r28,0.0000,0.0000
Build a IoT edge node with temperature controls and fan speed safeguards,r29,0.0000,0.0000
Build a IoT edge node with temperature controls and fan speed safeguards,r30,0.0000,0.0000
Build a IoT edge node with temperature controls and fan speed safeguards,r31,0.0000,0.0000
Build a IoT edge node with temperature controls and fan speed safeguards,r32,0.0000,0.0000
Build a IoT edge node with temperature controls and fan speed safeguards,r33,0.0000,0.0000
Deploy a machine learning host protected against CPU overload scenarios,r1,0.0000,0.0000
Deploy a machine learning host protected against CPU overload scenarios,r2,0.0000,0.0000
Deploy a machine learning host protected against CPU overload scenarios,r3,0.0000,0.0000
Deploy a machine learning host protected against CPU overload scenarios,r4,0.3043,0.0909
Deploy a machine learning host protected against CPU overload scenarios,r5,0.2777,0.0833
Deploy a machine learning host protected against CPU overload scenarios,r6,0.0000,0.0000
Deploy a machine learning host protected against CPU overload scenarios,r7,0.6957,0.2000
Deploy a machine learning host protected against CPU overload scenarios,r8,0.6347,0.1818
Deploy a machine learning host protected against CPU overload scenarios,r9,1.0000,0.3333
Deploy a machine learning host protected against CPU overload scenarios,r10,0.9123,0.3000
Deploy a machine learning host protected against CPU overload scenarios,r11,0.0000,0.0000
Deploy a machine learning host protected against CPU overload scenarios,r12,0.0000,0.0000
Deploy a machine learning host protected against CPU overload scenarios,r13,0.0000,0.0000
Deploy a machine learning host protected against CPU overload scenarios,r14,0.0000,0.0000
Deploy a machine learning host protected against CPU overload scenarios,r15,0.3043,0.0909
Deploy a machine learning host protected against CPU overload scenarios,r16,0.0000,0.0000
Deploy a machine learning host protected against CPU overload scenarios,r17,0.0000,0.0000
Deploy a machine learning host protected against CPU overload scenarios,r18,0.0000,0.0000
Deploy a machine learning host protected against CPU overload scenarios,r19,0.0000,0.0000
Deploy a machine learning host protected against CPU overload scenarios,r20,0.0000,0.0000
Deploy a machine learning host protected against CPU overload scenarios,r21,0.0000,0.0000
Deploy a machine learning host protected against CPU overload scenarios,r22,0.0000,0.0000
Deploy a machine learning host protected against CPU overload scenarios,r23,0.0000,0.0000
Deploy a machine learning host protected against CPU overload scenarios,r24,0.0000,0.0000
Deploy a machine learning host protected against CPU overload scenarios,r25,0.0000,0.0000
Deploy a machine learning host protected against CPU overload scenarios,r26,0.0000,0.0000
Deploy a machine learning host protected against CPU overload scenarios,r27,0.0000,0.0000
Deploy a machine learning host protected against CPU overload scenarios,r28,0.0000,0.0000
Deploy a machine learning host protected against CPU overload scenarios,r29,0.0000,0.0000
Deploy a machine learning host protected against CPU overload scenarios,r30,0.0000,0.0000
Deploy a machine learning host protected against CPU overload scenarios,r31,0.0000,0.0000
Deploy a machine learning host protected against CPU overload scenarios,r32,0.0000,0.0000
Deploy a machine learning host protected against CPU overload scenarios,r33,0.0000,0.0000
Setup a reverse proxy with DPDK buffer protection and IP fragment security,r1,0.0000,0.0000
Setup a reverse proxy with DPDK buffer protection and IP fragment security,r2,0.0000,0.0000
Setup a reverse proxy with DPDK buffer protection and IP fragment security,r3,0.0000,0.0000
Setup a reverse proxy with DPDK buffer protection and IP fragment security,r4,0.0000,0.0000
Setup a reverse proxy with DPDK buffer protection and IP fragment security,r5,0.0000,0.0000
Setup a reverse proxy with DPDK buffer protection and IP fragment security,r6,0.0000,0.0000
Setup a reverse proxy with DPDK buffer protection and IP fragment security,r7,0.0000,0.0000
Setup a reverse proxy with DPDK buffer protection and IP fragment security,r8,0.0000,0.0000
Setup a reverse proxy with DPDK buffer protection and IP fragment security,r9,0.0000,0.0000
Setup a reverse proxy with DPDK buffer protection and IP fragment security,r10,0.0000,0.0000
Setup a reverse proxy with DPDK buffer protection and IP fragment security,r11,0.0000,0.0000
Setup a reverse proxy with DPDK buffer protection and IP fragment security,r12,0.0000,0.0000
Setup a reverse proxy with DPDK buffer protection and IP fragment security,r13,0.0000,0.0000
Setup a reverse proxy with DPDK buffer protection and IP fragment security,r14,0.0000,0.0000
Setup a reverse proxy with DPDK buffer protection and IP fragment security,r15,0.0000,0.0000
Setup a reverse proxy with DPDK buffer protection and IP fragment security,r16,0.0000,0.0000
Setup a reverse proxy with DPDK buffer protection and IP fragment security,r17,0.0000,0.0000
Setup a reverse proxy with DPDK buffer protection and IP fragment security,r18,0.0000,0.0000
Setup a reverse proxy with DPDK buffer protection and IP fragment security,r19,0.0000,0.0000
Setup a reverse proxy with DPDK buffer protection and IP fragment security,r20,0.0000,0.0000
Setup a reverse proxy with DPDK buffer protection and IP fragment security,r21,0.0000,0.0000
Setup a reverse proxy with DPDK buffer protection and IP fragment security,r22,0.0000,0.0000
Setup a reverse proxy with DPDK buffer protection and IP fragment security,r23,0.6261,0.1667
Setup a reverse proxy with DPDK buffer protection and IP fragment security,r24,0.1791,0.0833
Setup a reverse proxy with DPDK buffer protection and IP fragment security,r25,0.5794,0.1538
Setup a reverse proxy with DPDK buffer protection and IP fragment security,r26,1.0000,0.1818
Setup a reverse proxy with DPDK buffer protection and IP fragment security,r27,0.1647,0.0769
Setup a reverse proxy with DPDK buffer protection and IP fragment security,r28,0.1791,0.0833
Setup a reverse proxy with DPDK buffer protection and IP fragment security,r29,0.1647,0.0769
Setup a reverse proxy with DPDK buffer protection and IP fragment security,r30,0.1791,0.0833
Setup a reverse proxy with DPDK buffer protection and IP fragment security,r31,0.1647,0.0769
Setup a reverse proxy with DPDK buffer protection and IP fragment security,r32,0.6810,0.1818
Setup a reverse proxy with DPDK buffer protection and IP fragment security,r33,0.6532,0.1667
Create a Kubernetes master node with network error rate monitoring,r1,0.0000,0.0000
Create a Kubernetes master node with network error rate monitoring,r2,0.0000,0.0000
Create a Kubernetes master node with network error rate monitoring,r3,0.0000,0.0000
Create a Kubernetes master node with network error rate monitoring,r4,0.0000,0.0000
Create a Kubernetes master node with network error rate monitoring,r5,0.0000,0.0000
Create a Kubernetes master node with network error rate monitoring,r6,0.0000,0.0000
Create a Kubernetes master node with network error rate monitoring,r7,0.0000,0.0000
Create a Kubernetes master node with network error rate monitoring,r8,0.0000,0.0000
Create a Kubernetes master node with network error rate monitoring,r9,0.0000,0.0000
Create a Kubernetes master node with network error rate monitoring,r10,0.0000,0.0000
